"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/12/14 17:30","North Wales","PA","Triangle","5 minutes","I heard an extremely loud noise outside, and went onto my balcony to investigate. I saw an very very large green light headed my direct",""
"12/12/14 12:40","Cartersville","GA","Unknown","3.6 minutes","Looking up towards the west I noticed an object that flashed from white to green to red.  ((NUFORC Note:  Possible star??  PD))","12/12/14"
"12/12/14 06:30","Isle of Man (UK/England)","","Light","2 seconds","Over the Isle of Man, very fast moving light, diving then zooming.","12/12/14"
"12/12/14 01:00","Miamisburg","OH","Changing","","Bright color changing and, shape shifting object seen over Miamisburg, OH.  ((NUFORC Note:  Possible ""twinkling"" star??  PD))","12/12/14"
"12/12/14 00:00","Spotsylvania","VA","Unknown","1 minute","White then orange orb gained a ""tail of light"" when chased off by a heli.","12/12/14"
"12/11/14 23:25","Kenner","LA","Chevron","~1 minute","Strange, chevron-shaped, ufo moving east to west over Kenner.","12/12/14"
"12/11/14 23:15","Eugene","OR","Disk","2 minutes","Dual orange orbs in Eugene, Oregon. 12/11/2014.","12/12/14"
"12/11/14 20:04","Phoenix","AZ","Chevron","3 minutes","4 Orange Lights Spotted South Of The Phoenix Area.","12/12/14"
"12/11/14 20:00","Franklin","NC","Disk","5 minutes","There were 5 or 6 lights in a row blinking, whites and reds.  It was just sitting there over top the ridge of the mountains.","12/12/14"
"12/11/14 18:30","Longview","WA","Cylinder","10 seconds","Two cylinder shaped objects that flew parallel in the sky.","12/12/14"
"12/11/14 17:30","Markesan","WI","Light","10 minutes","Dark sky, large lights, nothing like an airplane, turning on and off in a pattern.","12/12/14"
"12/11/14 16:40","Birmingham","AL","Fireball","20 minutes","UFOs moving fast like fireballs or individual rockets.","12/12/14"
"12/11/14 06:00","West Milford","NJ","Fireball","10 seconds","Strange light across sky.","12/12/14"
"12/11/14 00:00","Williamsburg","VA","Egg","10 minutes","Bright light object with three clusters of light.","12/12/14"
"12/10/14 20:30","Chandler","AZ","Sphere","1 hour","1-7 bright orange spheres seen for over an hour in Chandler, Arizona, near the Gila River Reservation.","12/12/14"
"12/10/14 20:00","Maricopa","AZ","Formation","20-25 minutes","Bright orange lights over Maricopa.","12/12/14"
"12/10/14 19:30","Litchfield Park","AZ","Formation","20 minutes","Multiple lights in the sky in Litchfield Park, Arizona.","12/12/14"
"12/10/14 19:15","Flagler","CO","Light","1 minute","Eastern Colorado lights.","12/12/14"
"12/10/14 19:00","Garner","NC","Light","12 minutes","Lights in distance quickly moving in every direction then shooting up at great speed.","12/12/14"
"12/10/14 17:30","Ruidoso","NM","Fireball","20 minutes","1 lg. bright orange orb that split into 3 orbs.  Fighter jets chased them & they disappeared.  Mil. jets, helis, and a b2 followed.","12/12/14"
"12/10/14 16:10","Yucaipa","CA","Disk","10 minutes","Glowing saucer dome shape on top and bottom with lights on top of doom flashing, grey metallic color.","12/12/14"
"12/10/14 13:03","Eloy","AZ","Other","4 minutes","Unknown object over Eloy, Arizona.  Daytime sighting.","12/12/14"
"12/10/14 06:30","Longmont","CO","Sphere","continuous","Possible drone flying in circles very high altitude, Eastern sky 35 degrees declination.","12/12/14"
"12/10/14 05:00","Warminster","PA","Triangle","3 minutes","Three lights flying in strict formation, but gave impression that it was one object. Not solid-- did not block stars behind it.","12/12/14"
"12/10/14 01:18","Rentz","GA","Triangle","8-10 minutes","Initially, started as shooting star, then became 3 bright lights.  Flew in complete silence.  Body of craft was almost transparent.","12/12/14"
"12/9/14 21:42","Mission Viejo","CA","Fireball","3 minutes","Vibrant, blue/purple fireball hovering and spanning across the night sky in Mission Viejo.","12/12/14"
"12/9/14 20:48","Salt Lake City","UT","Egg","4-5 seconds","Blue-green craft in the sky, then disappearing.","12/12/14"
"12/9/14 20:44","South Jordan","UT","","2 seconds","Saw a huge round bright white orb shoot downward incredibly fast NW in the night sky.  It dissipated to black within a couple seconds.","12/12/14"
"12/9/14 20:00","Des Moines","WA","Formation","30 seconds","Des Moines, WA, 6 white orbs in diamond configuration  on east side of Maury Is, WA 8pm 12/9/14.","12/12/14"
"12/9/14 18:20","Sulphur","LA","Circle","8 minutes","It look like it was try to say or do.something but it wanted my attention.","12/12/14"
"12/9/14 17:15","Loveland","CO","Circle","15 minutes","Orange/Pink orb moving at high rate of speed over Loveland/Fort-Collins heading north to Wyoming.","12/12/14"
"12/9/14 16:55","Mauston","WI","Light","1.5 minutes","I seen two blinking lights in the north, one directly above the other.  They blinked from really bright to dark.","12/12/14"
"12/9/14 06:40","Meadowview","VA","Triangle","1 minute","My husband and teen sons were driving on I81 towards Bristol about a 2mi. past the Glade Spring exit and saw from a distance an wha","12/12/14"
"12/9/14 02:30","Morgantown","WV","Other","15 seconds","Entity showed itself next to black mass in Morgantown, WV.","12/12/14"
"12/9/14 02:00","Twin Falls","ID","Triangle","15 seconds","6 orange lights above airport in triangle shape and all disappearing.","12/12/14"
"12/8/14 22:40","Republic","MO","Circle","5 minutes","Red, circular, object shot straight up into sky and broke into three, and flew east.","12/12/14"
"12/8/14 22:01","Arvada","CO","Light","10 minutes","Amber Light Changes Solid Red.","12/12/14"
"12/8/14 19:15","Mount Juliet","TN","Light","30","((HOAX??))  Bright Neon Orange ligt 20 feet above tree level, oval like sphere vanished appeared to be fare in distance.","12/12/14"
"12/8/14 19:00","Gibsonia","PA","Circle","1-3 minutes","Three red-orange round ""fiery,"" quiet, objects in an apparant ""maneuver.""","12/12/14"
"12/8/14 18:55","Phoenix","AZ","Fireball","2 seconds","A large fireball traveling NW at a very high rate of speed.  ((NUFORC Note:  Possible meteor??  PD))","12/12/14"
"12/8/14 07:20","Yorktown Heights","NY","Circle","7 seconds","circle object flying at low speed.","12/12/14"
"12/8/14 04:20","Auburn","AL","Oval","Afternoon","While driving, I looked out the window and there was an object, and it looked odd. Then I took a picture of the unusual object.","12/12/14"
"12/8/14 03:05","Worcester","MA","Light","200 milliseconds","White ball moving at extreme speed.","12/12/14"
"12/7/14 21:00","Palmdale","CA","Oval","15 minutes","Oval-shaped aircraft with red and white lights, making a distinct buzzing sound, hovers over the Palmdale, CA, desert for 10 min..","12/12/14"
"12/7/14 20:53","Villa Rica","GA","Cross","30 minutes","((HOAX??))  Drones everywhere in Atlanta.","12/12/14"
"12/7/14 19:40","Cedar Park","TX","Unknown","a few minutes","Flashing lights (1 red 2 green) with whirring sound, stopped, then changed direction, then went down towards the earth.","12/12/14"
"12/7/14 18:22","Fort Collins","CO","Light","","Bright white light.","12/12/14"
"12/7/14 17:20","Morrisville","VT","Other","2 seconds","Large, plane-shaped object, illuminated by orange lights, seems to fall out of sky, but makes no sound.","12/12/14"
"12/7/14 12:07","Simi Valley","CA","Sphere","1 minute","A black round object flew across the sky in day time from East to West in Simi Valley.","12/12/14"
"12/7/14 06:55","Hooker","OK","Circle","45 seconds","Large, bright orb moved across sky in irregular patterns before vanishing.","12/12/14"
"12/7/14 02:15","Porter","TX","Light","2 minutes","Ball of light.","12/12/14"
"12/7/14 00:19","Chicago","IL","Triangle","1 second","Unkown object seen in Chicago.","12/12/14"
"12/7/14 00:00","Santa Rosa","CA","Sphere","45 minutes","Three white, multi-faceted, pulsing orbs form a triangle.","12/12/14"
"12/6/14 21:00","Gilbert","AZ","Changing","2-3 minutes","Bright glitter/shimmering, long-tailed UFO's in Gilbert!","12/12/14"
"12/6/14 21:00","Racine","WI","Light","2 hours","Color-shifting bright light moving slowly across night sky.  ((NUFORC Note:  Possible sighting of star, Sirius??  PD))","12/12/14"
"12/6/14 20:00","Mesa","AZ","Oval","10 minute","Three lights in sky appear and disappeared.","12/12/14"
"12/6/14 19:00","Clearville","PA","","loud bang","Loud bang.","12/12/14"
"12/6/14 18:10","Patterson","NY","Triangle","5 minutes","Driving down 311 into Patterson from 22 and I see 3 bright lights that were clearly above the trees on the horizon. As we approached, w","12/12/14"
"12/6/14 17:45","Eagle Mountain","UT","Circle","1 minute","Bright white light bluish tinge marquis shaped lights on circular object.","12/12/14"
"12/6/14 12:00","Apache Junction","AZ","Triangle","5 minutes","Has anyone else noticed the increased military activity in the skies above the east valley, Mesa, AZ.","12/12/14"
"12/6/14 07:30","Owensboro","KY","Fireball","10-15 minutes","Red orange objects seen flying over Owensboro, KY.","12/12/14"
"12/6/14 01:00","North Pole","AK","Triangle","3 minutes","Large triangular shape with lights hovering over the outskirts of North Pole.","12/12/14"
"12/6/14 00:22","Prescott","AZ","Fireball","3 seconds","Blue/white ball of light falling toward Earth, and same color arrow shaped light which lit up in front of/below it.","12/12/14"
"12/5/14 21:30","Dartmouth (Canada)","NS","Light","30 minutes","I went outside to my balcony to have a smoke and I looked up to the sky and saw 15 lights flashing and blinking. Some were hovering and","12/12/14"
"12/5/14 21:00","West Allis","WI","Light","30 seconds","Point of green light zooming back and forth between the rooftops in downtown West Allis.","12/12/14"
"12/5/14 21:00","West Allis","WI","Light","10-15 seconds","Greenish blue light made a u-turn over 71st and Greenfield.","12/12/14"
"12/5/14 19:40","Franklin","WI","Light","3-4 minutes","Blue light that changed colors, directions, and disappeared","12/12/14"
"12/5/14 18:45","Levittown","PA","Chevron","1 minutes","3 chevron-shaped amber objects engulfed with flames underneath flying in several formation patterns.","12/12/14"
"12/5/14 18:29","West Roxbury","MA","Light","10 minutes","4 lights meeting at a point, rotating 45 degrees, then meeting again.","12/12/14"
"12/5/14 17:45","Salt Lake City","UT","Circle","4 minutes","An orange orb traveling low and slow north to south to quickly ascend, erratic flight path and intermittent flicker.","12/12/14"
"12/4/14 21:00","Fairfax","VT","Disk","2 hours","Two-hour UFO event in Franklin County, Vermont, multiple witnesses.","12/12/14"
"12/4/14 19:00","Attalla","AL","Light","2.5-3 hours","Lights in circular motion going in to one another.  Stood in same spot for along time before moving about 60 ft. When they left. They l","12/12/14"
"12/4/14 18:30","Spring Valley","CA","Triangle","6-7 minutes","I saw a triangle.","12/12/14"
"12/4/14 18:00","I-80 (47 miles west of UT)","NV","Light","5 seconds","Heading west on Hwy 80, about 47 miles into NV (from UT).  NW of the highway in the distance.  It looked like a ball of flame.","12/5/14"
"12/4/14 17:00","Tampa","FL","Light","1 hour","Strange light falling from the sky, and aircraft chasing it.  ((NUFORC Note:  Photo appears to show contrails behind a/c.  PD))","12/5/14"
"12/4/14 16:45","Westchester","CA","Sphere","15 seconds","Three bright white spheres.","12/5/14"
"12/3/14 23:00","Albuquerque","NM","Other","15 seconds","Aircraft shaped like a sine curve, with a green neon light tracing its edges.","12/5/14"
"12/3/14 22:43","Bunn","NC","Circle","3 seconds","Sighted a bright white circular object move across the sky just north of the Moon.","12/5/14"
"12/3/14 22:10","Stony Point","NY","Circle","5 minutes","We noticed a formation of objects first flying in a formation similar to the Little Dipper traveling from east to west.","12/5/14"
"12/3/14 21:45","Dallas","OR","Circle","3 minutes","Large glowing orb that looks like a star from a distance but hovers 300 feet or so above tree line.","12/5/14"
"12/3/14 21:30","Kannapolis","NC","Triangle","2-5 minutes","3 white lights in triangular formation hovering in the NW sky of Kannapolis.","12/5/14"
"12/3/14 21:16","Carson City","NV","","5 minutes","Two objects followed by 20 white lights in a scattered triangle formation.","12/5/14"
"12/3/14 20:55","Meansville","GA","Formation","5 minutes","Large formation of red lights with lead light being white.","12/5/14"
